pattern|jlpt_level|description|pattern_type
ました|N4|Passé formel affirmé|verb_form
ません|N4|Présent formel négatif|verb_form
ですから|N4|Donc, parce que|particle_conjunction
ことがあります|N4|Avoir l'expérience de|expression
なければならない|N3|Devoir, obligation forte|expression
ておく|N3|Préparer d'avance|auxiliary_verb
ているところ|N3|Être en train de|expression
そうだ|N3|Sembler, avoir l'air|expression
てしまう|N3|Finir par, se mettre à|auxiliary_verb
ようにする|N3|Essayer de, s'efforcer à|expression
たら|N3|Si, une fois que|conditional
ても|N3|Même si|conditional
ほうがいい|N3|Il vaut mieux|expression
ばかりか|N3|Non seulement ... mais aussi|particle_conjunction
としたら|N3|Si on suppose que|conditional
べき|N3|Devoir, obligation éthique|auxiliary_verb
ていく|N3|Continuer à, aller en faisant|auxiliary_verb
うちに|N3|Pendant que, avant que|expression
ばならない|N3|Devoir|expression
そのため|N3|Pour cette raison, c'est pourquoi|particle_conjunction
により|N3|Par, au moyen de|particle
によって|N3|Par, selon|particle
さえ|N3|Même, même simplement|particle
ほか|N3|Autre que, en dehors de|particle
だけ|N4|Seulement, juste|particle
まで|N4|Jusqu'à|particle
から|N4|Depuis, parce que|particle
ので|N4|Parce que, puisque|particle_conjunction
けれども|N4|Mais, cependant|particle_conjunction
けど|N4|Mais (informel)|particle_conjunction
ながら|N4|Tandis que, tout en|particle_conjunction
しかし|N4|Mais, cependant|particle_conjunction
そして|N4|Et, ensuite|particle_conjunction
あるいは|N3|Ou, ou bien|particle_conjunction
またはないし|N3|Ou, ou bien|particle_conjunction
ならば|N3|Si|conditional
ていただく|N3|Recevoir quelque chose de quelqu'un|expression
てくださる|N3|Que quelqu'un fasse pour moi|expression
こと|N4|Fait que, chose|noun_suffix
とき|N4|Au moment de, quand|noun_suffix
ため|N4|Pour, à cause de|noun_suffix
方|N4|Façon, manière, direction|noun_suffix
そう|N3|Semble, a l'air|auxiliary_adjective
ようだ|N3|Semble, a l'air|auxiliary_adjective
らしい|N3|Il paraît que, semble|auxiliary_adjective
みたい|N3|Semble, ressemble à|auxiliary_adjective
つつある|N2|Être en train de, progressivement|expression
ばかりで|N2|Juste, simplement|expression
として|N3|En tant que, comme|particle
たち|N4|Pluriel (pour personnes)|noun_suffix
など|N4|Etc., et ainsi de suite|particle
くらい|N4|Environ, à peu près|particle
ぐらい|N4|Environ, à peu près|particle
も|N4|Aussi, même|particle
が|N4|Mais, cependant (utilisé après une phrase)|particle
もの|N4|Chose, personne|noun
